USERNAME,FULLNAME,email,DEPARTMENT,RoleRights
cscahernper,ABRAHAM HERNANDEZ PEREZ,abraham.hernandez@dummybimbo.com,proyectos,
abril.candia,ABRIL CANDIA RODRIGUEZ,abril.candia@dummybimbo.com,nominas nacional,tesoreria
adan.yanez01,ADAN ALEJANDRO YAÑEZ,adan.yanez01@dummybimbo.com,activo fijo,
cscaportgal,Adan Portillo Galan,adan.portillo@dummybimbo.com,nominas nacional,
cscavegatre,ADELA VEGA TREJO,adela.vega@dummybimbo.com,proyectos,
cscamediper,Adrian Medina Perez,adrian.medina@dummybimbo.com,catalogos sia,
cscacruzvaz,ADRIANA CRUZ VAZQUEZ,adriana.cruz@dummybimbo.com,nominas nacionales,
cscagonzgon,ADRIANA GONZALEZ GONZALEZ,adriana.gonzalez01@dummybimbo.com,catalogos sia,
adriana.lezama,ADRIANA LEZAMA TINAJERO,adriana.lezama@dummybimbo.com,nominas nacional,
adriana.morales,ADRIANA MORALES GONZALEZ,adriana.morales@dummybimbo.com,servicios de facturacion,
cscasilvsan,ADRIANA SILVA SANCHEZ,adriana.silva@dummybimbo.com,cuentas por pagar,
alan.sandoval,ALAN MANUEL SANDOVAL ROSAS,alan.sandoval@dummybimbo.com,conciliaciones,Direccion General
alberto.alcaraz01,Alberto Antonio Alcaraz Torres,alberto.alcaraz01@dummybimbo.com,cuentas por pagar,
areyemar,alberto neri reyes martinez,alberto.reyes02@dummybimbo.com,cuentas por pagar,
cscasalgmar,ALDO SALGADO MARTINEZ,aldo.salgado@dummybimbo.com,nominas nacional,
cscaflormor,Alejandra Flores Morales,alejandra.flores@dummybimbo.com,servicios,
alejandra.mata,Alejandra Mata Gaitan,alejandra.mata@dummybimbo.com,nominas nacional,
alejandro.pulido,Alejandro Pulido Perez,alejandro.pulido@dummybimbo.com,credito y cobranzas,
alexa.martinez,Alexa Elizabeth Martines Barron,alexa.martinez@dummybimbo.com,fabrica de procesos,
alexis.espinosa,Alexis Espinosa Martinez,alexis.espinosa@dummybimbo.com,activo fijo,
alexis.marcelo,Alexis Marcelo guadian,alexis.marcelo@dummybimbo.com,fiscal,
cscabaheher,ALFREDO BAHENA HERNANDEZ,alfredo.bahena@dummybimbo.com,activo fijo,
cscaferngom,ALFREDO FERNANDEZ GOMEZ,alfredo.fernandez@dummybimbo.com,fiscal,
